0410	OSLO	OSLO
0411	OSLO	OSLO
0412	OSLO	OSLO
0413	OSLO	OSLO
0415	OSLO	OSLO
0421	OSLO	OSLO
0422	OSLO	OSLO
0423	OSLO	OSLO
0424	OSLO	OSLO
0440	OSLO	OSLO
0441	OSLO	OSLO
0442	OSLO	OSLO
0445	OSLO	OSLO
0450	OSLO	OSLO
0451	OSLO	OSLO
0452	OSLO	OSLO
0454	OSLO	OSLO
0455	OSLO	OSLO
0456	OSLO	OSLO
0457	OSLO	OSLO
0458	OSLO	OSLO
0459	OSLO	OSLO
0460	OSLO	OSLO
0461	OSLO	OSLO
0462	OSLO	OSLO
0463	OSLO	OSLO
0464	OSLO	OSLO
0465	OSLO	OSLO
0467	OSLO	OSLO
0468	OSLO	OSLO
0469	OSLO	OSLO
0470	OSLO	OSLO
0472	OSLO	OSLO
0473	OSLO	OSLO
0474	OSLO	OSLO
0475	OSLO	OSLO
0476	OSLO	OSLO
0477	OSLO	OSLO
0478	OSLO	OSLO
0479	OSLO	OSLO
0480	OSLO	OSLO
0481	OSLO	OSLO
0482	OSLO	OSLO
0483	OSLO	OSLO
0484	OSLO	OSLO
0485	OSLO	OSLO
0486	OSLO	OSLO
0487	OSLO	OSLO
0488	OSLO	OSLO
0489	OSLO	OSLO
0490	OSLO	OSLO
0491	OSLO	OSLO
0492	OSLO	OSLO
0493	OSLO	OSLO
0494	OSLO	OSLO
0495	OSLO	OSLO
0496	OSLO	OSLO
0501	OSLO	OSLO
0502	OSLO	OSLO
0503	OSLO	OSLO
0504	OSLO	OSLO
0505	OSLO	OSLO
0506	OSLO	OSLO
0507	OSLO	OSLO
0508	OSLO	OSLO
0509	OSLO	OSLO
0510	OSLO	OSLO
0511	OSLO	OSLO
0512	OSLO	OSLO
0513	OSLO	OSLO
0515	OSLO	OSLO
0516	OSLO	OSLO
0517	OSLO	OSLO
0518	OSLO	OSLO
0520	OSLO	OSLO
0540	OSLO	OSLO
0550	OSLO	OSLO
0551	OSLO	OSLO
0552	OSLO	OSLO
0553	OSLO	OSLO
0554	OSLO	OSLO
0555	OSLO	OSLO
0556	OSLO	OSLO
0557	OSLO	OSLO
0558	OSLO	OSLO
0559	OSLO	OSLO
0560	OSLO	OSLO
0561	OSLO	OSLO
0562	OSLO	OSLO
0563	OSLO	OSLO
0564	OSLO	OSLO
0565	OSLO	OSLO
0566	OSLO	OSLO
0567	OSLO	OSLO
0568	OSLO	OSLO
0569	OSLO	OSLO
0570	OSLO	OSLO
0571	OSLO	OSLO
0572	OSLO	OSLO
0573	OSLO	OSLO
0574	OSLO	OSLO
0575	OSLO	OSLO
0576	OSLO	OSLO
0577	OSLO	OSLO
0578	OSLO	OSLO
0579	OSLO	OSLO
0580	OSLO	OSLO
0581	OSLO	OSLO
0582	OSLO	OSLO
0583	OSLO	OSLO
0584	OSLO	OSLO
0585	OSLO	OSLO
0586	OSLO	OSLO
0587	OSLO	OSLO
0588	OSLO	OSLO
0589	OSLO	OSLO
0590	OSLO	OSLO
0591	OSLO	OSLO
0592	OSLO	OSLO
0593	OSLO	OSLO
0594	OSLO	OSLO
0595	OSLO	OSLO
0596	OSLO	OSLO
0597	OSLO	OSLO
0598	OSLO	OSLO
0601	OSLO	OSLO
0602	OSLO	OSLO
0603	OSLO	OSLO
0604	OSLO	OSLO
0605	OSLO	OSLO
0606	OSLO	OSLO
0607	OSLO	OSLO
0608	OSLO	OSLO
0609	OSLO	OSLO
0611	OSLO	OSLO
0612	OSLO	OSLO
0613	OSLO	OSLO
0614	OSLO	OSLO
0615	OSLO	OSLO
0616	OSLO	OSLO
0617	OSLO	OSLO
0618	OSLO	OSLO
0619	OSLO	OSLO
0620	OSLO	OSLO
0621	OSLO	OSLO
0622	OSLO	OSLO
0623	OSLO	OSLO
0624	OSLO	OSLO
0626	OSLO	OSLO
0650	OSLO	OSLO
0651	OSLO	OSLO
0652	OSLO	OSLO
0653	OSLO	OSLO
0654	OSLO	OSLO
0655	OSLO	OSLO
0656	OSLO	OSLO
0657	OSLO	OSLO
0658	OSLO	OSLO
0659	OSLO	OSLO
0660	OSLO	OSLO
0661	OSLO	OSLO
0662	OSLO	OSLO
0663	OSLO	OSLO
0664	OSLO	OSLO
0665	OSLO	OSLO
0666	OSLO	OSLO
0667	OSLO	OSLO
0668	OSLO	OSLO
0669	OSLO	OSLO
0670	OSLO	OSLO
0671	OSLO	OSLO
0672	OSLO	OSLO
0673	OSLO	OSLO
0674	OSLO	OSLO
0675	OSLO	OSLO
0676	OSLO	OSLO
0677	OSLO	OSLO
0678	OSLO	OSLO
0679	OSLO	OSLO
0680	OSLO	OSLO
0681	OSLO	OSLO
0682	OSLO	OSLO
0683	OSLO	OSLO
0684	OSLO	OSLO
0685	OSLO	OSLO
0686	OSLO	OSLO
0687	OSLO	OSLO
0688	OSLO	OSLO
0689	OSLO	OSLO
0690	OSLO	OSLO
0691	OSLO	OSLO
0692	OSLO	OSLO
0693	OSLO	OSLO
0694	OSLO	OSLO
0701	OSLO	OSLO
0702	OSLO	OSLO
0705	OSLO	OSLO
0710	OSLO	OSLO
0712	OSLO	OSLO
0750	OSLO	OSLO
0751	OSLO	OSLO
0752	OSLO	OSLO
0753	OSLO	OSLO
0754	OSLO	OSLO
0755	OSLO	OSLO
0756	OSLO	OSLO
0757	OSLO	OSLO
0758	OSLO	OSLO
0760	OSLO	OSLO
0763	OSLO	OSLO
0764	OSLO	OSLO
0765	OSLO	OSLO
0766	OSLO	OSLO
0767	OSLO	OSLO
0768	OSLO	OSLO
0770	OSLO	OSLO
0771	OSLO	OSLO
0772	OSLO	OSLO
0773	OSLO	OSLO
0774	OSLO	OSLO
0775	OSLO	OSLO
0776	OSLO	OSLO
0777	OSLO	OSLO
0778	OSLO	OSLO
0779	OSLO	OSLO
0781	OSLO	OSLO
0782	OSLO	OSLO
0783	OSLO	OSLO
0784	OSLO	OSLO
0785	OSLO	OSLO
0786	OSLO	OSLO
0787	OSLO	OSLO
0788	OSLO	OSLO
0789	OSLO	OSLO
0790	OSLO	OSLO
0791	OSLO	OSLO
0801	OSLO	OSLO
0805	OSLO	OSLO
0806	OSLO	OSLO
0807	OSLO	OSLO
0840	OSLO	OSLO
0850	OSLO	OSLO
0851	OSLO	OSLO
0852	OSLO	OSLO
0853	OSLO	OSLO
0854	OSLO	OSLO
0855	OSLO	OSLO
0856	OSLO	OSLO
0857	OSLO	OSLO
0858	OSLO	OSLO
0860	OSLO	OSLO
0861	OSLO	OSLO
0862	OSLO	OSLO
0863	OSLO	OSLO
0864	OSLO	OSLO
0870	OSLO	OSLO
0871	OSLO	OSLO
0872	OSLO	OSLO
0873	OSLO	OSLO
0874	OSLO	OSLO
0875	OSLO	OSLO
0876	OSLO	OSLO
0877	OSLO	OSLO
0880	OSLO	OSLO
0881	OSLO	OSLO
0882	OSLO	OSLO
0883	OSLO	OSLO
0884	OSLO	OSLO
0890	OSLO	OSLO
0891	OSLO	OSLO
0901	OSLO	OSLO
0902	OSLO	OSLO
0903	OSLO	OSLO
0904	OSLO	OSLO
0905	OSLO	OSLO
0907	OSLO	OSLO
0908	OSLO	OSLO
0913	OSLO	OSLO
0914	OSLO	OSLO
0915	OSLO	OSLO
0950	OSLO	OSLO
0951	OSLO	OSLO
0952	OSLO	OSLO
0953	OSLO	OSLO
0954	OSLO	OSLO
0955	OSLO	OSLO
0956	OSLO	OSLO
0957	OSLO	OSLO
0958	OSLO	OSLO
0959	OSLO	OSLO
0960	OSLO	OSLO
0962	OSLO	OSLO
0963	OSLO	OSLO
0964	OSLO	OSLO
0968	OSLO	OSLO
0969	OSLO	OSLO
0970	OSLO	OSLO
0971	OSLO	OSLO
0972	OSLO	OSLO
0973	OSLO	OSLO
0975	OSLO	OSLO
0976	OSLO	OSLO
0977	OSLO	OSLO
0978	OSLO	OSLO
0979	OSLO	OSLO
0980	OSLO	OSLO
0981	OSLO	OSLO
0982	OSLO	OSLO
0983	OSLO	OSLO
0984	OSLO	OSLO
0985	OSLO	OSLO
0986	OSLO	OSLO
0987	OSLO	OSLO
0988	OSLO	OSLO
1001	OSLO	OSLO
1003	OSLO	OSLO
1005	OSLO	OSLO
1006	OSLO	OSLO
1007	OSLO	OSLO
1008	OSLO	OSLO
1009	OSLO	OSLO
1011	OSLO	OSLO
1051	OSLO	OSLO
1052	OSLO	OSLO
1053	OSLO	OSLO
1054	OSLO	OSLO
1055	OSLO	OSLO
1056	OSLO	OSLO
1061	OSLO	OSLO
1062	OSLO	OSLO
1063	OSLO	OSLO
1064	OSLO	OSLO
1065	OSLO	OSLO
1067	OSLO	OSLO
1068	OSLO	OSLO
1069	OSLO	OSLO
1071	OSLO	OSLO
1081	OSLO	OSLO
1083	OSLO	OSLO
1084	OSLO	OSLO
1086	OSLO	OSLO
1087	OSLO	OSLO
1088	OSLO	OSLO
1089	OSLO	OSLO
1101	OSLO	OSLO
1102	OSLO	OSLO
1108	OSLO	OSLO
1109	OSLO	OSLO
1112	OSLO	OSLO
1150	OSLO	OSLO
1151	OSLO	OSLO
1152	OSLO	OSLO
1153	OSLO	OSLO
1154	OSLO	OSLO
1155	OSLO	OSLO
1156	OSLO	OSLO
1157	OSLO	OSLO
1158	OSLO	OSLO
1160	OSLO	OSLO
1161	OSLO	OSLO
